date,player1,player2,p1_points,p2_points
2013-09-19,P-Zak,Battleboi Basti,0,3
2013-10-02,Koozy,Fatcap,2,1
2013-10-16,Drob Dynamic,Laas Unltd.,0,3
2013-11-06,Takt32,Separate,2,1
2013-11-20,Amah,Mighty P.,0,3
2013-12-18,P-Zak,Iron Basic,2,1
2014-01-15,Le Nerd,Fresh Polakke,0,3
2014-02-05,Koozy,Mighty Mo,0,3
2014-02-19,Brian Damage,Drob Dynamic,3,0
2014-04-16,Pille,Gozpel,0,3
2014-05-07,Ssynic,Jack Dragon,3,0
2014-06-13,Merlin,Roni 87,2,1
2014-09-03,Ssynic,Bong Teggy,2,1
2014-10-01,4Tune,Merlin,0,3
2014-10-15,RV,Jack Dragon,2,1
2014-11-05,Besser,MC Maik,3,0
2014-11-19,Pille,Tobi Nice,0,3
2014-12-03,Merlin,Ssynic,1,2
2014-12-17,Bong Teggy,Mighty Mo,1,2
2015-01-07,MC Maik,Roni 87,3,0
2015-02-04,BDad,Tobi Nice,1,2
2015-02-18,Besser,Mars B,3,0
2015-03-18,Merlin,Davie Jones,1,2
2015-04-01,Doktor Dave,Drob Dynamic,0,3
2015-04-15,Ssynic,Cashisclay,3,0
2015-05-20,Petschino,Mighty Mo,2,1
2015-06-03,Gozpel,Battleboi Basti,2,1
2015-09-02,Davie Jones,Z,1,2
2015-09-25,Notyzze,Ali Affront,2,1
2015-10-16,Mighty P.,Nedal Nib,2,1
2015-11-13,Mikz,MC Maik,2,1
2015-11-28,Amah,McTwist,0,3
2015-12-11,RV,Tobi Nice,3,0
2015-12-25,Lyrico,Davie Jones,0,3
2016-01-15,Ssynic,Bong Teggy,3,0
2016-01-29,Buy Some,Georg Midas,3,0
2016-02-12,MC Maik,Fresh Polakke,0,3
2016-03-11,Gugo,Yarambo,1,2
2016-04-20,Notyzze,Buy Some,1,2
2016-05-18,Yarambo,Barracuda,3,0
2016-06-01,Gugo,Finch Asozial,0,3
2016-09-21,Jizi,Jey Jey Glünderling,0,3
