rank,name,elo
1,Ssynic,1090
2,Buy Some,1040
3,RV,1040
4,Gozpel,1040
5,Yarambo,1039
6,Besser,1039
7,Mighty P.,1039
8,Fresh Polakke,1038
9,Petschino,1022
10,Z,1021
11,Jey Jey Glünderling,1020
12,Mikz,1020
13,Davie Jones,1020
14,Takt32,1020
15,Laas Unltd.,1020
16,Finch Asozial,1019
17,McTwist,1019
18,Brian Damage,1019
19,Tobi Nice,1017
20,Mighty Mo,1017
21,P-Zak,1001
22,Notyzze,1000
23,Battleboi Basti,1000
24,Koozy,999
25,Merlin,998
26,Cashisclay,983
27,Drob Dynamic,983
28,Barracuda,981
29,Nedal Nib,981
30,Mars B,981
31,BDad,981
32,4Tune,981
33,Jizi,980
34,Georg Midas,980
35,Lyrico,980
36,Ali Affront,980
37,Le Nerd,980
38,Separate,980
39,Fatcap,980
40,Iron Basic,979
41,Doktor Dave,978
42,MC Maik,962
43,Gugo,961
44,Jack Dragon,961
45,Pille,961
46,Amah,961
47,Roni 87,960
48,Bong Teggy,949
